Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3515657;Interior;Fernão;87;0;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;6111;188;;;
3515806;Interior;Flora Rica;72;3;;;
3515905;Interior;Floreal;80;2;;;
3516002;Interior;Flórida Paulista;362;5;;;
3516101;Interior;Florínea;111;2;;;
3516200;Interior;Franca;15465;372;;;
3516309;RMSP (exceto capital);Francisco Morato;5672;174;;;
3516408;RMSP (exceto capital);Franco da Rocha;4758;159;;;
3516507;Interior;Gabriel Monteiro;87;4;;;
3516606;Interior;Gália;211;6;;;
3516705;Interior;Garça;1898;42;;;
3516804;Interior;Gastão Vidigal;105;12;;;
3516853;Interior;Gavião Peixoto;588;4;;;
3516903;Interior;General Salgado;485;6;;;
3517000;Interior;Getulina;524;6;;;
3517109;Interior;Glicério;228;8;;;
3517208;Interior;Guaiçara;668;15;;;
3517307;Interior;Guaimbê;218;4;;;
3517406;Interior;Guaíra;2276;54;;;
3517505;Interior;Guapiaçu;1286;37;;;
3517604;Interior;Guapiara;995;39;;;
3517703;Interior;Guará;938;37;;;
3517802;Interior;Guaraçaí;236;6;;;
3517901;Interior;Guaraci;446;11;;;
3518008;Interior;Guarani d'Oeste;81;3;;;
3518107;Interior;Guarantã;196;4;;;
3518206;Interior;Guararapes;1495;24;;;
3518305;RMSP (exceto capital);Guararema;889;41;;;
3518404;Interior;Guaratinguetá;4096;105;;;
3518503;Interior;Guareí;2226;8;;;
3518602;Interior;Guariba;1909;44;;;
3518701;Interior;Guarujá;12485;594;;;
3518800;RMSP (exceto capital);Guarulhos;35702;2136;;;
3518859;Interior;Guatapará;187;7;;;
3518909;Interior;Guzolândia;199;11;;;
3519006;Interior;Herculândia;292;9;;;
3519055;Interior;Holambra;924;7;;;
3519071;Interior;Hortolândia;11964;267;;;
3519105;Interior;Iacanga;609;9;;;
3519204;Interior;Iacri;103;3;;;
3519253;Interior;Iaras;115;6;;;
3519303;Interior;Ibaté;1732;25;;;
3519402;Interior;Ibirá;819;16;;;
3519501;Interior;Ibirarema;262;9;;;
3519600;Interior;Ibitinga;3132;74;;;
3519709;Interior;Ibiúna;1351;40;;;
3519808;Interior;Icém;508;10;;;
3519907;Interior;Iepê;381;9;;;
3520004;Interior;Igaraçu do Tietê;1068;18;;;
3520103;Interior;Igarapava;964;36;;;
3520202;Interior;Igaratá;1460;12;;;
3520301;Interior;Iguape;1124;30;;;
